Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAON,AAON Inc. Common Stock,$79.91,-3.29,-3.954%,4189523877.00,United States,,135226,Capital Goods,Industrial Machinery/Components
AATC,Autoscope Technologies Corporation Common Stock,$6.51,0.06,0.93%,34973139.00,United States,,10270,Capital Goods,Industrial Machinery/Components
ABNB,Airbnb Inc. Class A Common Stock,$181.46,-5.03,-2.697%,108222563810.00,United States,2020,3514985,Capital Goods,Industrial Machinery/Components
ADTN,ADTRAN Inc. Common Stock,$21.06,0.15,0.717%,1025200568.00,United States,1994,413042,Capital Goods,Telecommunications Equipment
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),$1.87,0.01,0.538%,11097425.00,China,,78334,Capital Goods,Building Products
AEHR,Aehr Test Systems Common Stock,$15.65,-0.52,-3.216%,415618067.00,United States,1997,1372978,Capital Goods,Electrical Products
AEY,ADDvantage Technologies Group Inc. Common Stock,$1.83,-0.01,-0.543%,22895811.00,United States,,11920,Capital Goods,Recreational Products/Toys
AIMC,Altra Industrial Motion Corp. Common Stock,$53.85,-1.15,-2.091%,3495921806.00,United States,2006,152889,Capital Goods,Industrial Machinery/Components
AKYA,Akoya BioSciences Inc. Common Stock,$12.66,-1.04,-7.591%,471051039.00,United States,2021,202021,Capital Goods,Medical Specialities
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,$2.51,-0.12,-4.563%,449262930.00,United States,,1051733,Capital Goods,Metal Fabrications
AMAT,Applied Materials Inc. Common Stock,$152.65,-4.64,-2.95%,137832035525.00,United States,1972,5415167,Capital Goods,Industrial Machinery/Components
AMOT,Allied Motion Technologies Inc.,$38.92,-0.06,-0.154%,578123713.00,United States,,18379,Capital Goods,Electrical Products
AMPG,Amplitech Group Inc. Common Stock,$3.59,-0.18,-4.775%,33723279.00,United States,,46818,Capital Goods,Industrial Machinery/Components
AMPGW,Amplitech Group Inc. Warrants,$1.1069,0.00,0.00%,0.00,United States,,50,Capital Goods,Industrial Machinery/Components
AMSC,American Superconductor Corporation Common Stock,$11.65,-0.39,-3.239%,330806247.00,United States,1991,125347,Capital Goods,Office Equipment/Supplies/Services
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,$3.51,0.08,2.332%,15914242.00,United States,,589,Capital Goods,Industrial Machinery/Components
ARVL,Arrival Ordinary Shares,$7.87,-0.53,-6.31%,5009816698.00,Luxembourg,,1953082,Capital Goods,Auto Manufacturing
ASTC,Astrotech Corporation (DE) Common Stock,$0.741,-0.0266,-3.465%,36690220.00,United States,,198258,Capital Goods,Aerospace
ASTE,Astec Industries Inc. Common Stock,$67.60,-0.16,-0.236%,1538891760.00,United States,1986,99990,Capital Goods,Construction/Ag Equipment/Trucks
ATER,Aterian Inc. Common Stock,$5.14,-0.41,-7.387%,275137811.00,United States,2019,3240434,Capital Goods,Industrial Machinery/Components
ATRO,Astronics Corporation Common Stock,$10.74,-0.39,-3.504%,337884739.00,United States,,131258,Capital Goods,Military/Government/Technical
AVAV,AeroVironment Inc. Common Stock,$62.84,1.32,2.146%,1559151141.00,United States,2007,605081,Capital Goods,Aerospace
AVNW,Aviat Networks Inc. Common Stock,$31.88,0.57,1.821%,356469631.00,United States,,103166,Capital Goods,Telecommunications Equipment
AXDX,Accelerate Diagnostics Inc. Common Stock,$4.87,-0.06,-1.217%,339265589.00,United States,,185729,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BECN,Beacon Roofing Supply Inc. Common Stock,$55.09,-0.85,-1.519%,3862522305.00,United States,2004,306511,Capital Goods,Wholesale Distributors
BELFA,Bel Fuse Inc. Class A Common Stock,$13.91,-0.53,-3.67%,172560700.00,United States,,234,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc. Class B Common Stock,$12.44,-0.09,-0.718%,154324594.00,United States,,35080,Capital Goods,Electrical Products
BGRY,Berkshire Grey Inc. Class A Common Stock,$5.63,0.19,3.493%,1293124152.00,United States,2021,901032,Capital Goods,Office Equipment/Supplies/Services
BGRYW,Berkshire Grey Inc. Warrant,$1.03,0.00,0.00%,0.00,United States,2021,64169,Capital Goods,Office Equipment/Supplies/Services
BHTG,BioHiTech Global Inc. Common Stock,$0.8501,0.001,0.118%,25027990.00,United States,,118828,Capital Goods,Industrial Machinery/Components
BLBD,Blue Bird Corporation Common Stock,$17.72,-0.72,-3.905%,483408688.00,United States,2014,74008,Capital Goods,Construction/Ag Equipment/Trucks
BNGO,Bionano Genomics Inc. Common Stock,$3.52,-0.21,-5.63%,1017928064.00,United States,2018,5675313,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BNGOW,Bionano Genomics Inc. Warrant,$1.30,0.01,0.775%,0.00,United States,2018,8102,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BNSO,Bonso Electronics International Inc. Common Stock,$4.14,-0.12,-2.817%,20257529.00,Hong Kong,,4086,Capital Goods,Industrial Machinery/Components
BOXL,Boxlight Corporation Class A Common Stock,$1.48,-0.11,-6.918%,91848661.00,United States,2017,789254,Capital Goods,Telecommunications Equipment
BRKR,Bruker Corporation Common Stock,$80.53,-1.61,-1.96%,12212795430.00,United States,,410421,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BWEN,Broadwind Inc. Common Stock,$2.21,-0.11,-4.741%,43053925.00,United States,,194164,Capital Goods,Industrial Machinery/Components
CAAS,China Automotive Systems Inc. Common Stock,$2.99,0.02,0.673%,92246810.00,China,,33544,Capital Goods,Auto Parts:O.E.M.
CAMT,Camtek Ltd. Ordinary Shares,$44.88,-1.72,-3.691%,1967615316.00,Israel,2000,75916,Capital Goods,Electronic Components
CBAT,CBAK Energy Technology Inc. Common Stock,$2.02,-0.09,-4.265%,179184132.00,China,,2164626,Capital Goods,Electrical Products
CECE,CECO Environmental Corp. Common Stock,$6.09,-0.18,-2.871%,218077358.00,United States,,37455,Capital Goods,Pollution Control Equipment
CGNX,Cognex Corporation Common Stock,$75.76,-1.77,-2.283%,13394292467.00,United States,1989,548082,Capital Goods,Industrial Machinery/Components
CHX,ChampionX Corporation Common Stock ,$22.80,-0.29,-1.256%,4607192945.00,United States,,724579,Capital Goods,Construction/Ag Equipment/Trucks
CLWT,Euro Tech Holdings Company Limited Common Stock,$3.20,0.0419,1.327%,16495229.00,Hong Kong,1997,23975,Capital Goods,Industrial Machinery/Components
CMCO,Columbus McKinnon Corporation Common Stock,$46.89,-0.37,-0.783%,1333551037.00,United States,1996,69308,Capital Goods,Construction/Ag Equipment/Trucks
CODA,Coda Octopus Group Inc. Common stock,$7.75,-0.24,-3.004%,84143261.00,United States,,5697,Capital Goods,Industrial Machinery/Components
COHR,Coherent Inc. Common Stock,$265.79,0.17,0.064%,6562614245.00,United States,,122734,Capital Goods,Biotechnology: Laboratory Analytical Instruments
COHU,Cohu Inc. Common Stock,$35.02,-0.81,-2.261%,1705070815.00,United States,,428988,Capital Goods,Electrical Products
CRCT,Cricut Inc. Class A Common Stock,$23.61,-2.01,-7.845%,5251320098.00,United States,2021,272418,Capital Goods,Wholesale Distributors
CSTE,Caesarstone Ltd. Ordinary Shares,$11.22,-0.32,-2.773%,386753905.00,Israel,2012,92524,Capital Goods,Multi-Sector Companies
CVGI,Commercial Vehicle Group Inc. Common Stock,$8.56,-0.38,-4.251%,282295523.00,United States,2004,77483,Capital Goods,Auto Parts:O.E.M.
CYBE,CyberOptics Corporation Common Stock,$44.46,-1.13,-2.479%,327027709.00,United States,1987,25264,Capital Goods,Electronic Components
DAIO,Data I/O Corporation Common Stock,$4.70,-0.16,-3.292%,40518733.00,United States,1981,38080,Capital Goods,Industrial Machinery/Components
DAKT,Daktronics Inc. Common Stock,$5.30,0.14,2.713%,240964272.00,United States,1994,351299,Capital Goods,Office Equipment/Supplies/Services
DORM,Dorman Products Inc. Common Stock,$110.82,-2.10,-1.86%,3504544529.00,United States,,73259,Capital Goods,Auto Parts:O.E.M.
DXPE,DXP Enterprises Inc. Common Stock,$27.29,-0.71,-2.536%,506798224.00,United States,,122653,Capital Goods,Industrial Machinery/Components
ELMS,Electric Last Mile Solutions Inc. Class A Common stock,$7.23,-0.19,-2.561%,896719635.00,United States,2021,211644,Capital Goods,Auto Manufacturing
ELMSW,Electric Last Mile Solutions Inc. Warrant,$1.65,0.09,5.769%,0.00,United States,2020,8685,Capital Goods,Auto Manufacturing
ELSE,Electro-Sensors Inc. Common Stock,$6.07,0.10,1.675%,20610812.00,United States,,4149,Capital Goods,Industrial Machinery/Components
EML,Eastern Company (The) Common Stock,$25.58,-0.7094,-2.698%,160519104.00,United States,,2015,Capital Goods,Industrial Specialties
ENPH,Enphase Energy Inc. Common Stock,$216.35,-9.26,-4.104%,29188308125.00,United States,2012,1510235,Capital Goods,Electrical Products
ENVX,Enovix Corporation Common Stock,$31.10,-2.10,-6.325%,4517139031.00,United States,2021,579956,Capital Goods,Industrial Machinery/Components
ESLT,Elbit Systems Ltd. Ordinary Shares,$157.75,-0.80,-0.505%,6973142509.00,Israel,,25410,Capital Goods,Military/Government/Technical
EXTR,Extreme Networks Inc. Common Stock,$14.39,0.61,4.427%,1868962235.00,United States,1999,2522814,Capital Goods,Telecommunications Equipment
