Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEI,Alset EHome International Inc. Common Stock,$0.6209,-0.0051,-0.815%,28388653.00,United States,2020,5678475,Consumer Services,Building operators
AESE,Allied Esports Entertainment Inc. Common Stock,$2.00,0.01,0.503%,78283814.00,United States,2017,291802,Consumer Services,Television Services
AFACU,Arena Fortify Acquisition Corp. Unit,$10.05,0.005,0.05%,0.00,United States,2021,400,Consumer Services,Other Pharmaceuticals
AFCG,AFC Gamma Inc. Common Stock,$21.39,-0.29,-1.338%,351711749.00,United States,2021,104429,Consumer Services,Real Estate Investment Trusts
AFIN,American Finance Trust Inc. Class A Common Stock,$8.47,-0.08,-0.936%,1046099835.00,United States,,477658,Consumer Services,Real Estate Investment Trusts
AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,$26.00,0.03,0.116%,0.00,United States,,18287,Consumer Services,Real Estate Investment Trusts
AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,$26.2436,-0.0464,-0.176%,0.00,United States,,12127,Consumer Services,Real Estate Investment Trusts
AFYA,Afya Limited Class A Common Shares,$14.85,-0.16,-1.066%,1379599586.00,Brazil,2019,238232,Consumer Services,Other Consumer Services
AGFY,Agrify Corporation Common Stock,$14.50,-0.53,-3.526%,308429167.00,United States,2021,629697,Consumer Services,Military/Government/Technical
AGNC,AGNC Investment Corp. Common Stock,$15.85,-0.04,-0.252%,8319797855.00,United States,2008,7035594,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.40,-0.07,-0.275%,0.00,United States,,10842,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.64,-0.0099,-0.039%,0.00,United States,,14749,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$25.57,0.081,0.318%,0.00,United States,,11857,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$25.30,-0.06,-0.237%,0.00,United States,,18519,Consumer Services,Real Estate Investment Trusts
AMCX,AMC Networks Inc. Class A Common Stock,$38.84,-1.15,-2.876%,1641075137.00,United States,,310980,Consumer Services,Broadcasting
AMZN,Amazon.com Inc. Common Stock,$3483.42,-39.74,-1.128%,1766608162460.00,United States,1997,2300962,Consumer Services,Catalog/Specialty Distribution
ARKO,ARKO Corp. Common Stock,$9.53,-0.28,-2.854%,1185796982.00,United States,,270833,Consumer Services,Food Chains
ARKOW,ARKO Corp. Warrant,$2.10,0.00,0.00%,0.00,United States,,18,Consumer Services,Food Chains
ARKR,Ark Restaurants Corp. Common Stock,$17.33,-0.17,-0.971%,61548465.00,United States,,3059,Consumer Services,Restaurants
ASTS,AST SpaceMobile Inc. Class A Common Stock,$9.03,-0.46,-4.847%,467121033.00,United States,2019,639012,Consumer Services,Telecommunications Equipment
ASTSW,AST SpaceMobile Inc. Warrant,$3.62,-0.0801,-2.165%,0.00,United States,2019,18657,Consumer Services,Telecommunications Equipment
ATCX,Atlas Technical Consultants Inc. Class A Common Stock,$8.37,-0.34,-3.904%,281367694.00,United States,2019,83144,Consumer Services,Military/Government/Technical
ATEX,Anterix Inc. Common Stock,$58.97,-1.20,-1.994%,1083068259.00,United States,2015,90430,Consumer Services,Telecommunications Equipment
ATIF,ATIF Holdings Limited Ordinary Shares,$3.18,-0.10,-3.049%,29133220.00,China,2019,2572,Consumer Services,Professional Services
BATRA,Liberty Media Corporation Series A Liberty Braves Common Stock,$28.53,0.02,0.07%,1491637585.00,United States,,46447,Consumer Services,Movies/Entertainment
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,$28.03,-0.03,-0.107%,1465496022.00,United States,,79884,Consumer Services,Movies/Entertainment
BBBY,Bed Bath & Beyond Inc. Common Stock,$19.13,-0.09,-0.468%,1933281186.00,United States,1992,2734083,Consumer Services,Other Specialty Stores
BBCP,Concrete Pumping Holdings Inc. Common Stock,$8.55,0.17,2.029%,483878221.00,United States,2017,169822,Consumer Services,Military/Government/Technical
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,$2.01,-0.07,-3.365%,58818596.00,United States,2000,58618,Consumer Services,Broadcasting
BBQ,BBQ Holdings Inc. Common Stock,$13.72,-0.26,-1.86%,143991304.00,United States,,7007,Consumer Services,Restaurants
BFI,BurgerFi International Inc. Common Stock ,$7.40,-0.12,-1.596%,157349160.00,Mexico,2018,80428,Consumer Services,Restaurants
BFIIW,BurgerFi International Inc. Warrant ,$1.125,-0.045,-3.846%,0.00,Mexico,2018,34689,Consumer Services,Restaurants
BGFV,Big 5 Sporting Goods Corporation Common Stock,$20.51,-0.96,-4.471%,457593934.00,United States,2002,892945,Consumer Services,Other Specialty Stores
BJRI,BJ's Restaurants Inc. Common Stock,$36.20,-0.73,-1.977%,843593723.00,United States,,262004,Consumer Services,Restaurants
BLMN,Bloomin' Brands Inc. Common Stock,$19.34,-0.57,-2.863%,1726078890.00,United States,2012,1490633,Consumer Services,Restaurants
BON,Bon Natural Life Limited Ordinary Shares,$4.89,0.03,0.617%,40733700.00,China,2021,6361,Consumer Services,Real Estate Investment Trusts
BTBD,BT Brands Inc. Common Stock,$4.3399,-0.1601,-3.558%,27981531.00,United States,2021,32073,Consumer Services,Restaurants
BTBDW,BT Brands Inc. Warrant,$0.9354,0.0844,9.918%,0.00,United States,2021,20832,Consumer Services,Restaurants
BWMN,Bowman Consulting Group Ltd. Common Stock,$19.21,0.82,4.459%,217293684.00,United States,2021,76764,Consumer Services,Professional Services
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,$23.44,-0.06,-0.255%,857551650.00,Mexico,,51125,Consumer Services,Catalog/Specialty Distribution
BZUN,Baozun Inc. American Depositary Shares,$14.25,-0.31,-2.129%,1031105732.00,China,2015,813105,Consumer Services,Catalog/Specialty Distribution
