Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ALTM,Altus Midstream Company Class A Common Stock,$63.08,-0.81,-1.268%,236326697.00,United States,2017,56417,Energy,Oil & Gas Production
AMTX,Aemetis Inc. (DE) Common Stock,$16.37,-0.66,-3.876%,544952209.00,United States,,420411,Energy,Oilfield Services/Equipment
APA,APA Corporation Common Stock,$26.03,-0.60,-2.253%,9456028962.00,United States,,10567382,Energy,Oil & Gas Production
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$10.19,-0.30,-2.86%,1296119282.00,United States,1999,167530,Energy,Coal Mining
BKEP,Blueknight Energy Partners L.P. Common Units,$3.26,-0.09,-2.687%,135344256.00,United States,2011,76614,Energy,Oil & Gas Production
BKEPP,Blueknight Energy Partners L.P. Series A Preferred Units,$8.51,0.05,0.591%,0.00,United States,,80952,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$24.87,-0.08,-0.321%,21636105404.00,United States,,4315141,Energy,Oilfield Services/Equipment
BROG,Brooge Energy Limited Ordinary Shares,$9.01,0.4999,5.874%,987386565.00,United Kingdom,2018,535,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.571,-0.009,-1.552%,0.00,United Kingdom,2018,2000,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$8.37,-0.42,-4.778%,669659837.00,United States,2018,247617,Energy,Oil & Gas Production
CCLP,CSI Compressco LP Common Units,$1.19,-0.06,-4.80%,167060305.00,United States,2011,199033,Energy,Oilfield Services/Equipment
CDEV,Centennial Resource Development Inc. Class A Common Stock,$6.77,-0.05,-0.733%,1923302820.00,United States,2016,4879375,Energy,Oil & Gas Production
CHK,Chesapeake Energy Corporation Common Stock,$63.32,-1.14,-1.769%,7415142105.00,United States,,799130,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$31.50,-0.79,-2.447%,0.00,United States,,3782,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$38.47,-0.75,-1.912%,0.00,United States,,63113,Energy,Oil & Gas Production
