Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEP,American Electric Power Company Inc. Common Stock,$83.52,-0.50,-0.595%,41458453880.00,United States,,2441377,Public Utilities,Electric Utilities: Central
AEPPL,American Electric Power Company Inc. Corporate Unit,$49.6445,-0.0155,-0.031%,0.00,United States,,10354,Public Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,$50.2599,0.1799,0.359%,0.00,United States,,42902,Public Utilities,Electric Utilities: Central
AERC,AeroClean Technologies Inc. Common Stock,$13.89,1.29,10.238%,192565904.00,United States,2021,5014068,Public Utilities,Environmental Services
AKTS,Akoustis Technologies Inc. Common Stock,$6.84,-0.24,-3.39%,355987930.00,United States,,333171,Public Utilities,Telecommunications Equipment
ALLT,Allot Ltd. Ordinary Shares,$11.68,-0.44,-3.63%,425218915.00,Israel,2006,123562,Public Utilities,Telecommunications Equipment
AQMS,Aqua Metals Inc. Common Stock,$1.59,-0.12,-7.018%,111030476.00,United States,2015,603238,Public Utilities,Environmental Services
ARTNA,Artesian Resources Corporation Class A Common Stock,$42.45,-0.34,-0.795%,399296968.00,United States,,22093,Public Utilities,Water Supply
ATNI,ATN International Inc. Common Stock,$39.88,0.17,0.428%,631052546.00,United States,,36460,Public Utilities,Telecommunications Equipment
AUDC,AudioCodes Ltd. Common Stock,$35.59,-0.08,-0.224%,1149725092.00,Israel,1999,97578,Public Utilities,Telecommunications Equipment
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$37.57,-0.85,-2.212%,4188200771.00,United Kingdom,2014,393187,Public Utilities,Electric Utilities: Central
CDZI,CADIZ Inc. Common Stock,$4.49,-0.13,-2.814%,196016199.00,United States,,228975,Public Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$19.00,-0.159,-0.83%,0.00,United States,,11432,Public Utilities,Water Supply
CLFD,Clearfield Inc. Common Stock,$65.39,-0.91,-1.373%,897947773.00,United States,,60728,Public Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$6.91,-0.21,-2.949%,1540875639.00,United States,2007,2291025,Public Utilities,Natural Gas Distribution
CNSL,Consolidated Communications Holdings Inc. Common Stock,$7.92,-0.09,-1.124%,782133145.00,United States,2005,232790,Public Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$10.73,-0.22,-2.009%,163210800.00,Cayman Islands,,53914,Public Utilities,Water Supply
CWST,Casella Waste Systems Inc. Class A Common Stock,$82.25,-2.82,-3.315%,4227483279.00,United States,1997,218826,Public Utilities,Environmental Services
DZSI,DZS Inc. Common Stock,$13.67,-0.38,-2.705%,372351252.00,United States,,79612,Public Utilities,Telecommunications Equipment
ECOL,US Ecology Inc Common Stock,$35.15,-1.04,-2.874%,1107658189.00,United States,,104873,Public Utilities,Environmental Services
EXC,Exelon Corporation Common Stock,$53.14,-0.29,-0.543%,51987807201.00,United States,,5295409,Public Utilities,Power Generation
FCEL,FuelCell Energy Inc. Common Stock,$7.01,-0.60,-7.884%,2569962142.00,United States,,19187746,Public Utilities,Electric Utilities: Central
FKWL,Franklin Wireless Corp. Common Stock,$4.11,0.01,0.244%,47652491.00,United States,,71493,Public Utilities,Telecommunications Equipment
GWRS,Global Water Resources Inc. Common Stock,$17.54,-0.10,-0.567%,397266722.00,United States,2016,27037,Public Utilities,Water Supply
HCCI,Heritage-Crystal Clean Inc. Common Stock,$32.59,-0.81,-2.425%,788302433.00,United States,2008,47293,Public Utilities,Water Supply
HTOO,Fusion Fuel Green PLC Class A Ordinary Shares,$11.71,-0.53,-4.33%,153678785.00,Portugal,,20273,Public Utilities,Natural Gas Distribution
HTOOW,Fusion Fuel Green PLC Warrant,$3.55,-0.20,-5.333%,0.00,Portugal,,2688,Public Utilities,Natural Gas Distribution
IDCC,InterDigital Inc. Common Stock,$69.04,-0.85,-1.216%,2118008982.00,United States,,101825,Public Utilities,Telecommunications Equipment
INFN,Infinera Corporation Common Stock,$8.87,0.44,5.219%,1869685338.00,United States,2007,5988185,Public Utilities,Telecommunications Equipment
IPLDP,Interstate Power & Light Company Perp Prd Ser D,$25.00,0.01,0.04%,0.00,United States,,2002,Public Utilities,Power Generation
JAN,JanOne Inc. Common Stock (NV),$5.05,0.18,3.696%,14278421.00,United States,,95073,Public Utilities,Environmental Services
JCS,Communications Systems Inc. Common Stock,$2.66,-0.02,-0.746%,25856868.00,United States,,66586,Public Utilities,Telecommunications Equipment
LNT,Alliant Energy Corporation Common Stock,$58.14,-0.19,-0.326%,14555976156.00,United States,,921850,Public Utilities,Power Generation
MSEX,Middlesex Water Company Common Stock,$100.23,-2.94,-2.85%,1753725813.00,United States,,68426,Public Utilities,Water Supply
NFE,New Fortress Energy Inc. Class A Common Stock,$25.12,-1.13,-4.305%,5196404639.00,United States,2019,629865,Public Utilities,Oil/Gas Transmission
NTGR,NETGEAR Inc. Common Stock,$29.27,0.26,0.896%,856587545.00,United States,2003,422069,Public Utilities,Telecommunications Equipment
